"","type","dataverse","classifier","specification","preprocessing","tested_class","alternative_class","accuracy","aucroc","precision","recall","f1","sd_accuracy","sd_aucroc","sd_precision","sd_recall","sd_f1","ent","sd_ent","classifier_rf","classifier_rf_rag","classifier_ds","classifier_sm","dataverse_full","dataverse_gtca","dataverse_gtall","dataverse_srca","dataverse_srall","type_allvall","type_onevall","type_onevone","specification_cls","specification_mean","specification_MAX","specification_def","specification_ex","specification_both","preprocessing_none","preprocessing_pre","preprocessing_norm","preprocessing_top200","onevone_casi","onevone_caen","onevone_cagm","onevone_ensi","onevone_engm","onevone_sigm","onevall_ca","onevall_si","onevall_en","onevall_gm","allvall_ca","allvall_si","allvall_en","allvall_gm","One vs. One","One vs. All","All vs. All"
"1","All vs. All","Full Data","Deepseek R1","Definitions","None","CA","n.a.",0.774987595038015,0.579014563652722,0.466666666666667,0.0515151515151515,0.0907692307692308,0.0178905817658641,0.0807242140123642,0.505525029603437,0.0471282758030175,0.0837092114653768,0.537892153789491,0.0201296597540028,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"2","All vs. All","Full Data","Deepseek R1","Definitions","None","SI","n.a.",0.770993628220519,0.67931309345783,0.615079365079365,0.35,0.411559139784946,0.0388804386199392,0.0614641300817351,0.135153860047035,0.169938303380815,0.101514360250327,0.578327419508284,0.0153844577701432,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"3","All vs. All","Full Data","Deepseek R1","Definitions","None","EN","n.a.",0.549133561116754,0.578467435046382,0.28800871459695,0.484615384615385,0.358782051282051,0.0659238050811904,0.0577350811468525,0.0853715895100935,0.191221421838736,0.118785268474566,0.515519313210993,0.0107229319494657,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"4","All vs. All","Full Data","Deepseek R1","Definitions","None","GM","n.a.",0.616650906516453,0.62760956445167,0.338254746342982,0.485714285714286,0.393092501368363,0.0550974222539525,0.0897829756176407,0.0603332555289977,0.161766304146902,0.074984142933516,0.523386161620364,0.0246145724464589,NA,NA,"●",NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"5","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","CA","n.a.",0.668181118601287,0.576944862119766,0.188095238095238,0.156060606060606,0.168376068376068,0.0420856558702716,0.0552338169058009,0.125537393585372,0.113079443376032,0.116025444271134,0.563579581839177,0.0101595466882934,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"6","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","SI","n.a.",0.648554806538,0.61454723954724,0.300312432665374,0.306410256410256,0.300989010989011,0.0674442216331003,0.0439226450638453,0.0855792148352213,0.0871181911209973,0.0821868565316104,0.574259517727407,0.00792658393113072,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"7","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","EN","n.a.",0.608877397112691,0.630518256834046,0.296987179487179,0.33956043956044,0.307523497462646,0.0964765485088855,0.0804455818253423,0.115012101086781,0.199716016231134,0.149882834031185,0.562872599502669,0.015603845534212,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"8","All vs. All","Full Data","Mean Top-5 + Random Forest","CLS","None","GM","n.a.",0.652334780065873,0.570884187787022,0.330952380952381,0.336263736263736,0.326202423621778,0.0294813026898215,0.105610472091882,0.0535052501291529,0.121028878261612,0.0857722295571647,0.550255707094284,0.00891975600376969,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"9","All vs. All","Full Data","Random Forest","CLS","None","CA","n.a.",0.743058823529412,0.580072588230483,0.419047619047619,0.159090909090909,0.224227234753551,0.0651514073704701,0.087472766057433,0.334012912700003,0.0772578714180725,0.125038127320909,0.521609340896335,0.00594103829515406,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"10","All vs. All","Full Data","Random Forest","CLS","None","SI","n.a.",0.695450980392157,0.667633828160144,0.388752913752914,0.419230769230769,0.401045884871972,0.0425120468260046,0.0911778174694865,0.0856961431838749,0.100704291726438,0.0865772587666338,0.518554386244345,0.00455950655275344,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"11","All vs. All","Full Data","Random Forest","CLS","None","EN","n.a.",0.703607843137255,0.697894076841445,0.451645299145299,0.510989010989011,0.478696475937855,0.0477308228448088,0.095054844719949,0.096830112356246,0.118991251800592,0.105033278643174,0.509203721449427,0.00456093989239112,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"12","All vs. All","Full Data","Random Forest","CLS","None","GM","n.a.",0.672,0.657619620777516,0.399676274018379,0.5,0.443199233716475,0.0288103211033151,0.0720327912900815,0.0314949966069109,0.0384615384615384,0.024980886066707,0.505251650346648,0.00374178453108703,"●",NA,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"13","All vs. All","Full Data","Top-5 Similarity","CLS","None","CA","n.a.",0.684410256410256,0.537015613825627,0.319281045751634,0.31969696969697,0.294932533733133,0.0544418816233211,0.0452271380365797,0.0835381310207741,0.166701098371748,0.110551812105373,0.525224133558925,0.0108295983774321,NA,NA,NA,"●","●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"14","All vs. All","Full Data","Top-5 Similarity","CLS","None","SI","n.a.",0.63140874811463,0.600253036437247,0.308438929491561,0.356410256410256,0.31966720186834,0.0948832644190241,0.066178061667231,0.103081013068665,0.122350285547025,0.103819110243236,0.522062265860047,0.00391752736085295,NA,NA,NA,"●","●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"15","All vs. All","Full Data","Top-5 Similarity","CLS","None","EN","n.a.",0.568877828054299,0.570160414897257,0.296249682176456,0.441758241758242,0.353611111111111,0.0229687465418639,0.0836953924371047,0.0327979607735899,0.0763914122700641,0.0440042552157649,0.506125372537481,0.0101137603718766,NA,NA,NA,"●","●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"16","All vs. All","Full Data","Top-5 Similarity","CLS","None","GM","n.a.",0.707870286576169,0.551532677848467,0.397142857142857,0.0769230769230769,0.117460317460317,0.0393812585444315,0.0298144100432515,0.381778865366872,0.0543928293220421,0.0733944636298215,0.498648631813412,0.00545225820164584,NA,NA,NA,"●","●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"17","All vs. All","GT different baseline","Deepseek R1","Definitions","None","CA","n.a.",0.460923076923077,0.565851370851371,0.4348055968799,0.789393939393939,0.558776091081594,0.0647388039314487,0.0277015595708579,0.0515866284358351,0.151363560530208,0.0755728892958046,0.511799957088397,0.0183450037118003,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"18","All vs. All","GT different baseline","Deepseek R1","Definitions","None","SI","n.a.",0.94608547008547,0.747979797979798,0.8,0.5,0.593333333333333,0.0452882927027476,0.181501921386786,0.447213595499958,0.372677996249965,0.378887259690209,0.788581614702417,0.0335554307347188,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"19","All vs. All","GT different baseline","Deepseek R1","Definitions","None","EN","n.a.",0.877378917378917,0.619167764602547,0,0,0,0.0476169896135438,0.128273671223384,0,0,0,0.719462923565454,0.0253622188710132,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"20","All vs. All","GT different baseline","Deepseek R1","Definitions","None","GM","n.a.",0.562245014245014,0.586517338416848,0.228571428571429,0.0844444444444444,0.119233707469002,0.0833737949352309,0.101495837841438,0.183155448642258,0.0475316658582387,0.0705196763748242,0.503454650775023,0.0189658436201041,NA,NA,"●",NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"21","All vs. All","GT different baseline","Mean Top-5 + Random Forest","CLS","None","CA","n.a.",0.804430684554524,0.656753663003663,0,0,0,0.0410798857697019,0.0779516830285934,0,0,0,0.638115430582942,0.0135199834042973,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"22","All vs. All","GT different baseline","Mean Top-5 + Random Forest","CLS","None","SI","n.a.",0.837832817337461,0.605267094017094,0,0,0,0.0178820079877004,0.0693940028838284,0,0,0,0.64055551296764,0.057012551115339,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"23","All vs. All","GT different baseline","Mean Top-5 + Random Forest","CLS","None","EN","n.a.",0.846136910904713,0.753899572649573,0.4,0.133333333333333,0.2,0.0597095317803854,0.0628473300586432,0.547722557505166,0.182574185835055,0.273861278752583,0.635553886510683,0.0260316723098653,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"24","All vs. All","GT different baseline","Mean Top-5 + Random Forest","CLS","None","GM","n.a.",0.511929824561403,0.574351851851852,0.533501400560224,0.873333333333333,0.661797101449275,0.0265618717461393,0.0906341494127932,0.0253850140052159,0.0412759458244593,0.0231506939718869,0.580537378580514,0.0342340479180095,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"25","All vs. All","GT different baseline","Random Forest","CLS","None","CA","n.a.",0.84905830753354,0.562032967032967,0,0,0,0.0292131542581638,0.181056202698138,0,0,0,0.580913452579168,0.0184662906517719,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"26","All vs. All","GT different baseline","Random Forest","CLS","None","SI","n.a.",0.849793601651187,0.695039682539683,0,0,0,0.0239300213524476,0.160081671843993,0,0,0,0.588779721037028,0.0215137487906388,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"27","All vs. All","GT different baseline","Random Forest","CLS","None","EN","n.a.",0.873404712762298,0.728914835164835,0.4,0.166666666666667,0.233333333333333,0.0442089122601783,0.205655483147817,0.547722557505166,0.235702260395516,0.324893144826965,0.595186208682515,0.0209731500632681,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"28","All vs. All","GT different baseline","Random Forest","CLS","None","GM","n.a.",0.572256621947024,0.637539682539683,0.562256621947024,1,0.71924971580144,0.0494694232729871,0.0704963416779359,0.0362786354158693,0,0.0296543036332566,0.525482307746285,0.0215266815816542,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"29","All vs. All","GT different baseline","Top-5 Similarity","CLS","None","CA","n.a.",0.477777777777778,0.585649350649351,0.44695652173913,0.756060606060606,0.558276091081594,0.058410589640641,0.0730987522199357,0.0360043580642945,0.111391977428562,0.0346945428303165,0.486926065331179,0.00368081137819845,NA,NA,NA,"●",NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"30","All vs. All","GT different baseline","Top-5 Similarity","CLS","None","SI","n.a.",0.89988603988604,0.777219806763285,0,0,0,0.0214022889034954,0.0456427031175057,0,0,0,0.679225870959589,0.0207158566635623,NA,NA,NA,"●",NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"31","All vs. All","GT different baseline","Top-5 Similarity","CLS","None","EN","n.a.",0.90017094017094,0.679150197628459,0,0,0,0.0198702784091903,0.0854383516229609,0,0,0,0.679038893976705,0.0145475748678234,NA,NA,NA,"●",NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"32","All vs. All","GT different baseline","Top-5 Similarity","CLS","None","GM","n.a.",0.571692307692308,0.586161492374728,0.361471861471861,0.26,0.279893048128342,0.092131963150362,0.0651055032293351,0.16383151056421,0.233544877649978,0.187215176826442,0.479092000251596,0.00596744434516111,NA,NA,NA,"●",NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"33","All vs. All","GT different all","Deepseek R1","Definitions","None","CA","n.a.",0.441481481481481,0.564036519036519,0.422575757575758,0.722727272727273,0.529682817182817,0.0673118217277416,0.0875374610947602,0.0670751945681446,0.241807928695825,0.119313852967667,0.516371087430495,0.0136920314665778,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"34","All vs. All","GT different all","Deepseek R1","Definitions","None","SI","n.a.",0.944851851851852,0.626559068950373,0.8,0.466666666666667,0.566666666666667,0.0447674221398554,0.239812388079453,0.447213595499958,0.361324723144647,0.365148371670111,0.79795221621362,0.0208298130527825,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"35","All vs. All","GT different all","Deepseek R1","Definitions","None","EN","n.a.",0.871444444444444,0.644047619047619,0,0,0,0.0218849404222161,0.102819200640644,0,0,0,0.685567502565069,0.0243847927908382,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"36","All vs. All","GT different all","Deepseek R1","Definitions","None","GM","n.a.",0.579555555555556,0.641354053195352,0.184444444444444,0.138888888888889,0.153216374269006,0.125495560887504,0.118384271439803,0.205720654418367,0.127293769304329,0.147850321338578,0.503965579331913,0.0174825563035598,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"37","All vs. All","GT different all","Mean Top-5 + Random Forest","CLS","None","CA","n.a.",0.848137254901961,0.636300366300366,0,0,0,0.0552492517185128,0.180417172788982,0,0,0,0.629529655511356,0.0139262282506869,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"38","All vs. All","GT different all","Mean Top-5 + Random Forest","CLS","None","SI","n.a.",0.775245098039216,0.629120879120879,0,0,0,0.103745689126358,0.153797087937125,0,0,0,0.632962010428995,0.0299506131305328,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"39","All vs. All","GT different all","Mean Top-5 + Random Forest","CLS","None","EN","n.a.",0.795539215686275,0.585286935286935,0.2,0.2,0.2,0.0614904039737382,0.108963157337021,0.298142396999972,0.298142396999972,0.298142396999972,0.59253652184809,0.0257147323432545,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"40","All vs. All","GT different all","Mean Top-5 + Random Forest","CLS","None","GM","n.a.",0.519117647058824,0.582043650793651,0.533449883449883,0.811111111111111,0.642600374453921,0.0649708626616726,0.0971840000181944,0.0349834838663127,0.0594145823227984,0.0340716629500571,0.554416986750836,0.0213100578848206,NA,"●",NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"41","All vs. All","GT different all","Random Forest","CLS","None","CA","n.a.",0.861372549019608,0.746703296703297,0,0,0,0.0215613847019454,0.192370476407409,0,0,0,0.609558290265452,0.0249271834895889,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"42","All vs. All","GT different all","Random Forest","CLS","None","SI","n.a.",0.861372549019608,0.635714285714286,0,0,0,0.0215613847019454,0.240440338910285,0,0,0,0.597394182933605,0.0281655394664188,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"43","All vs. All","GT different all","Random Forest","CLS","None","EN","n.a.",0.859803921568628,0.875396825396825,0.8,0.266666666666667,0.4,0.0338891803896426,0.0480749364862734,0.447213595499958,0.149071198499986,0.223606797749979,0.560639325760999,0.0347256407644241,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"44","All vs. All","GT different all","Random Forest","CLS","None","GM","n.a.",0.582549019607843,0.737301587301587,0.560952380952381,1,0.717918313570487,0.0478394706888176,0.108008335694478,0.0436955037979218,0,0.0362921704697945,0.524651686431274,0.0325557262112031,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"45","All vs. All","GT different all","Top-5 Similarity","CLS","None","CA","n.a.",0.495692307692308,0.617228604728605,0.47179311916154,0.860606060606061,0.608859180035651,0.0380345529608922,0.0319530952238302,0.0187983042549247,0.0446905491022806,0.0160679330951414,0.496199340575712,0.0143923380265012,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"46","All vs. All","GT different all","Top-5 Similarity","CLS","None","SI","n.a.",0.911948717948718,0.57616930171278,0,0,0,0.0180032139726906,0.0857491832599303,0,0,0,0.705936517926267,0.0199871362250647,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"47","All vs. All","GT different all","Top-5 Similarity","CLS","None","EN","n.a.",0.863589743589744,0.513062300018822,0,0,0,0.0247618505754007,0.0743929953297992,0,0,0,0.660052932034473,0.0334528046671395,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"48","All vs. All","GT different all","Top-5 Similarity","CLS","None","GM","n.a.",0.624102564102564,0.558139297385621,0.333333333333333,0.166666666666667,0.219393939393939,0.0592435328683162,0.0752495131727797,0.204124145231932,0.12842529172852,0.155369165519169,0.480532748313351,0.00545401411606295,NA,NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"49","All vs. All","SR different baseline","Deepseek R1","Definitions","None","CA","n.a.",0.46242735042735,0.573705877455877,0.446458034718904,0.848484848484849,0.578104613398731,0.0875970726265114,0.12441007194035,0.0597576992550466,0.170075335762452,0.0591138291017321,0.519571144758845,0.0189370085824302,NA,NA,"●",NA,NA,NA,NA,"●",NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"50","All vs. All","SR different baseline","Deepseek R1","Definitions","None","SI","n.a.",0.923316239316239,0.74235836627141,0.933333333333333,0.5,0.593333333333333,0.0462991697552276,0.195967597016286,0.149071198499986,0.328083661417159,0.252102272015854,0.73705166231263,0.0279662558606049,NA,NA,"●",NA,NA,NA,NA,"●",NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
"51","All vs. All","SR different baseline","Deepseek R1","Definitions","None","EN","n.a.",0.861754985754986,0.605253623188406,0,0,0,0.018975916023141,0.169296730341987,0,0,0,0.666183585118503,0.0255066388211014,NA,NA,"●",NA,NA,NA,NA,"●",NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"EN vs. all"
"52","All vs. All","SR different baseline","Deepseek R1","Definitions","None","GM","n.a.",0.645356125356125,0.50109649122807,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0557252867806804,0.0725784973422263,0.127775312999988,0.127775312999988,0.127775312999988,0.508695865569253,0.020706430258901,NA,NA,"●",NA,NA,NA,NA,"●",NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,"GM vs. all"
"53","All vs. All","SR different baseline","Mean Top-5 + Random Forest","CLS","None","CA","n.a.",0.759699248120301,0.620398284313725,0.266666666666667,0.1,0.137142857142857,0.0663953838403531,0.0379709836381376,0.434613493680177,0.136930639376292,0.192088415016818,0.575340199013634,0.0130851111709064,NA,"●",NA,NA,NA,NA,NA,"●",NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"CA vs. all"
"54","All vs. All","SR different baseline","Mean Top-5 + Random Forest","CLS","None","SI","n.a.",0.750751879699248,0.5859375,0,0,0,0.0442460600896376,0.0625,0,0,0,0.591398825186343,0.0214691037774681,NA,"●",NA,NA,NA,NA,NA,"●",NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,"SI vs. all"
