"","type","dataverse","classifier","specification","preprocessing","tested_class","alternative_class","accuracy","aucroc","precision","recall","f1","sd_accuracy","sd_aucroc","sd_precision","sd_recall","sd_f1","ent","sd_ent","classifier_rf","classifier_rf_rag","classifier_ds","classifier_sm","dataverse_full","dataverse_gtca","dataverse_gtall","dataverse_srca","dataverse_srall","type_allvall","type_onevall","type_onevone","specification_cls","specification_mean","specification_MAX","specification_def","specification_ex","specification_both","preprocessing_none","preprocessing_pre","preprocessing_norm","preprocessing_top200","onevone_casi","onevone_caen","onevone_cagm","onevone_ensi","onevone_engm","onevone_sigm","onevall_ca","onevall_si","onevall_en","onevall_gm","allvall_ca","allvall_si","allvall_en","allvall_gm","One vs. One","One vs. All","All vs. All"
"944","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","GM","CA",0.668131868131868,0.630833333333333,0.712287712287712,0.9,0.79296066252588,0.104149507502695,0.0630255680039635,0.0480611894802195,0.14142135623731,0.0806889169524842,0.661669519477423,0.0450709302101229,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA vs. GM",NA,NA
"945","One vs. One","SR different baseline","Random Forest","CLS","None","CA","GM",0.725274725274725,0.611666666666667,0,0,0,0.0245721755769208,0.0787488976995163,0,0,0,0.488811621766929,0.0106351497502117,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA vs. GM",NA,NA
"946","One vs. One","SR different baseline","Random Forest","CLS","None","GM","CA",0.725274725274725,0.611666666666667,0.725274725274725,1,0.840579710144927,0.0245721755769208,0.0787488976995163,0.0245721755769208,0,0.0162033911413029,0.637952368581202,0.0342500673668321,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA vs. GM",NA,NA
"947","One vs. One","Full Data","Top-5 Similarity","CLS","None","SI","GM",0.591076923076923,0.620167652859961,0.56421335200747,0.726923076923077,0.634101581687789,0.140911655566728,0.14806798204361,0.117294152570381,0.152477889883593,0.127897868390783,0.519022613004679,0.0238724210251028,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"948","One vs. One","Full Data","Top-5 Similarity","CLS","None","GM","SI",0.591076923076923,0.620167652859961,0.642049062049062,0.461538461538462,0.533794466403162,0.140911655566728,0.14806798204361,0.182639570226783,0.153846153846154,0.160308233931113,0.526883381925707,0.0166252399710946,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"949","One vs. One","SR different baseline","Deepseek R1","Definitions","None","SI","EN",0.668181818181818,0.71047619047619,0.666666666666667,0.752380952380952,0.701831501831502,0.169602246290372,0.156134934956377,0.102062072615966,0.246057346338358,0.164664135936543,0.552811663769824,0.0381645873206247,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. SI",NA,NA
"950","One vs. One","SR different baseline","Deepseek R1","Definitions","None","EN","SI",0.668181818181818,0.71047619047619,0.706666666666667,0.573333333333333,0.622727272727273,0.169602246290372,0.156134934956377,0.289059778515717,0.101105005920687,0.170136066111026,0.539673241887867,0.0615320097555921,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. SI",NA,NA
"951","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","SI","EN",0.514285714285714,0.673611111111111,0.644285714285714,0.633333333333333,0.595454545454545,0.169700282678147,0.205419436913181,0.236384329049978,0.280128938566194,0.176175052772711,0.583844114461584,0.0616241538091838,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. SI",NA,NA
"952","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","EN","SI",0.514285714285714,0.673611111111111,0.25,0.4,0.3,0.169700282678147,0.205419436913181,0.25,0.418330013267038,0.298142396999972,0.525066613224313,0.0335707554274303,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. SI",NA,NA
"953","One vs. One","SR different baseline","Random Forest","CLS","None","SI","EN",0.683809523809524,0.766666666666667,0.67,0.95,0.784761904761905,0.0831358203535055,0.180662361572323,0.0532290647422377,0.111803398874989,0.0705019258031305,0.566725229380248,0.0280645322918117,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. SI",NA,NA
